#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2008  7 12 15 46  2  B027 lester027bor2007 353.23 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B027 lester027bor2007 486.64 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B027 lester027bor2007 397.56 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009  8  7 10 49 39  B027 lester027bor2007 479.92 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009  8 29 10 11 16  B027 lester027bor2007 466.14 241   99   43.90 -128.74 12.0  5.1 2009.241_5.1
 2009  8 29 10 24 12  B027 lester027bor2007 461.79 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009  8 29 13  5 54  B027 lester027bor2007 466.74 241  101   43.95 -128.76 17.0  4.8 2009.241_4.8
 2009 11  4 12 38 29  B027 lester027bor2007 358.32 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2009 12 15  3 34  5  B027 lester027bor2007 469.58 349  107   43.81 -128.76 12.0  4.7 2009.349_4.7
 2010  1 10  0 27 47  B027 lester027bor2007 465.70 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B027 lester027bor2007 489.96 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B027 lester027bor2007 400.25 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B027 lester027bor2007 260.36 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B027 lester027bor2007 445.83 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B027 lester027bor2007 398.41 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B027 lester027bor2007 385.95 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B027 lester027bor2007 423.80 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B027 lester027bor2007 384.14 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B027 lester027bor2007 442.96 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8  5 15 10  2  B027 lester027bor2007 493.92 217  142   43.89 -129.09 17.4  4.8 2011.217_4.8
 2011  9  1  2  6 22  B027 lester027bor2007 403.78 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B027 lester027bor2007 383.71 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2 13 21  7  6  B027 lester027bor2007 377.10 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B027 lester027bor2007 397.60 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B027 lester027bor2007 415.94 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B027 lester027bor2007 385.47 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B027 lester027bor2007 402.81 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B027 lester027bor2007 499.50 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B027 lester027bor2007 495.14 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B027 lester027bor2007 341.96 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B027 lester027bor2007 429.64 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B027 lester027bor2007 406.54 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B027 lester027bor2007 349.20 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  5 24  3 47 12  B027 lester027bor2007 498.97 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B027 lester027bor2007 344.72 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B027 lester027bor2007 448.13 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2013 10 11 23  5 40  B027 lester027bor2007 437.26 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B027 lester027bor2007 458.97 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B027 lester027bor2007 451.13 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B027 lester027bor2007 439.11 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B028 lester028bor2007 141.98 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B028 lester028bor2007 402.70 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B028 lester028bor2007 378.99 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B028 lester028bor2007 380.98 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B028 lester028bor2007 480.27 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B028 lester028bor2007 466.25 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2006  1 11 10  2 35  B028 lester028bor2007 379.60 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 25 20 14  5  B028 lester028bor2007 409.54 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B028 lester028bor2007 401.99 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B028 lester028bor2007 443.50 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B028 lester028bor2007 467.80 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2007  1 31 15 24 50  B028 lester028bor2007 399.43 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B028 lester028bor2007 379.76 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B028 lester028bor2007 403.83 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B028 lester028bor2007 393.87 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B028 lester028bor2007 457.27 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B028 lester028bor2007 370.24 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B028 lester028bor2007 490.65 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B028 lester028bor2007 409.84 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B028 lester028bor2007 423.06 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B028 lester028bor2007 403.80 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B028 lester028bor2007 415.75 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2008  1 10  1 37 24  B028 lester028bor2007 438.96 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  1 19 23 13 10  B028 lester028bor2007 472.62 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B028 lester028bor2007 408.66 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 10  8  4 31  B028 lester028bor2007 466.60 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B028 lester028bor2007 414.95 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 30  3  3  8  B028 lester028bor2007 410.51 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B028 lester028bor2007 340.52 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B028 lester028bor2007 352.93 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B028 lester028bor2007 486.21 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B028 lester028bor2007 397.31 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009  8  7 10 49 39  B028 lester028bor2007 479.49 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009  8 29 10 11 16  B028 lester028bor2007 465.96 241   99   43.90 -128.74 12.0  5.1 2009.241_5.1
 2009  8 29 10 24 12  B028 lester028bor2007 461.60 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009  8 29 13  5 54  B028 lester028bor2007 466.57 241  101   43.95 -128.76 17.0  4.8 2009.241_4.8
 2009 11  4 12 38 29  B028 lester028bor2007 358.04 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2009 12 15  3 34  5  B028 lester028bor2007 469.39 349  107   43.81 -128.76 12.0  4.7 2009.349_4.7
 2010  1 10  0 27 47  B028 lester028bor2007 465.27 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B028 lester028bor2007 489.53 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B028 lester028bor2007 399.89 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B028 lester028bor2007 260.10 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B028 lester028bor2007 445.47 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B028 lester028bor2007 398.17 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B028 lester028bor2007 385.69 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B028 lester028bor2007 423.57 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B028 lester028bor2007 383.87 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B028 lester028bor2007 442.60 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8  5 15 10  2  B028 lester028bor2007 493.74 217  142   43.89 -129.09 17.4  4.8 2011.217_4.8
 2011  9  1  2  6 22  B028 lester028bor2007 403.53 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B028 lester028bor2007 383.45 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2 13 21  7  6  B028 lester028bor2007 376.67 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B028 lester028bor2007 397.35 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B028 lester028bor2007 415.70 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B028 lester028bor2007 385.21 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B028 lester028bor2007 402.57 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B028 lester028bor2007 499.07 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B028 lester028bor2007 494.71 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B028 lester028bor2007 341.66 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B028 lester028bor2007 429.29 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B028 lester028bor2007 406.31 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B028 lester028bor2007 348.90 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  5 24  3 47 12  B028 lester028bor2007 498.62 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B028 lester028bor2007 344.42 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B028 lester028bor2007 447.92 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2013 10 11 23  5 40  B028 lester028bor2007 436.83 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B028 lester028bor2007 458.60 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B028 lester028bor2007 450.70 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B028 lester028bor2007 438.76 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B030 pattrs030bor2007 160.38 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B030 pattrs030bor2007 387.41 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B030 pattrs030bor2007 363.61 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B030 pattrs030bor2007 365.37 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B030 pattrs030bor2007 432.28 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B030 pattrs030bor2007 433.20 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2005  6 17  6 21 45  B030 pattrs030bor2007 494.45 168   29   40.64 -126.76 16.2  6.6 2005.168_6.6
 2006  1 11 10  2 35  B030 pattrs030bor2007 380.72 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 22  5 42  2  B030 pattrs030bor2007 478.89 081   35   40.76 -126.66 12.9  5.0 2006.081_5.0
 2006  3 25 20 14  5  B030 pattrs030bor2007 380.76 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B030 pattrs030bor2007 374.16 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B030 pattrs030bor2007 451.80 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B030 pattrs030bor2007 479.38 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2006 10 17 20 53 18  B030 pattrs030bor2007 485.81 290   42   40.46 -126.29 12.0  4.9 2006.290_4.9
 2007  1 31 15 24 50  B030 pattrs030bor2007 384.44 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B030 pattrs030bor2007 366.37 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B030 pattrs030bor2007 406.06 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B030 pattrs030bor2007 396.74 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B030 pattrs030bor2007 410.25 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B030 pattrs030bor2007 368.34 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B030 pattrs030bor2007 443.38 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B030 pattrs030bor2007 364.52 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B030 pattrs030bor2007 427.75 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B030 pattrs030bor2007 406.38 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B030 pattrs030bor2007 420.00 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2007 12 11 19 17 25  B030 pattrs030bor2007 481.69 345   58   40.50 -126.28 21.5  4.9 2007.345_4.9
 2008  1 10  1 37 24  B030 pattrs030bor2007 445.44 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  1 19 23 13 10  B030 pattrs030bor2007 414.30 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B030 pattrs030bor2007 392.95 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 10  8  4 31  B030 pattrs030bor2007 478.45 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B030 pattrs030bor2007 419.17 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 30  3  3  8  B030 pattrs030bor2007 356.15 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B030 pattrs030bor2007 332.01 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B030 pattrs030bor2007 346.77 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B030 pattrs030bor2007 436.53 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B030 pattrs030bor2007 400.50 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009  8  7 10 49 39  B030 pattrs030bor2007 429.54 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009  8 29 10 11 16  B030 pattrs030bor2007 478.78 241   99   43.90 -128.74 12.0  5.1 2009.241_5.1
 2009  8 29 10 24 12  B030 pattrs030bor2007 474.07 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009  8 29 13  5 54  B030 pattrs030bor2007 480.08 241  101   43.95 -128.76 17.0  4.8 2009.241_4.8
 2009 11  4 12 38 29  B030 pattrs030bor2007 356.21 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2009 12 15  3 34  5  B030 pattrs030bor2007 481.01 349  107   43.81 -128.76 12.0  4.7 2009.349_4.7
 2010  1 10  0 27 47  B030 pattrs030bor2007 417.35 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B030 pattrs030bor2007 442.79 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B030 pattrs030bor2007 380.16 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B030 pattrs030bor2007 263.50 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B030 pattrs030bor2007 423.01 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B030 pattrs030bor2007 401.38 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B030 pattrs030bor2007 386.73 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B030 pattrs030bor2007 428.77 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B030 pattrs030bor2007 384.64 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B030 pattrs030bor2007 422.12 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  9  1  2  6 22  B030 pattrs030bor2007 405.92 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B030 pattrs030bor2007 384.01 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2 13 21  7  6  B030 pattrs030bor2007 323.86 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B030 pattrs030bor2007 400.54 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B030 pattrs030bor2007 419.61 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B030 pattrs030bor2007 387.15 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B030 pattrs030bor2007 406.82 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B030 pattrs030bor2007 454.76 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B030 pattrs030bor2007 450.04 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B030 pattrs030bor2007 333.93 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B030 pattrs030bor2007 410.35 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B030 pattrs030bor2007 411.06 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B030 pattrs030bor2007 341.99 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  3 30 21 43 21  B030 pattrs030bor2007 492.41 089  177   40.47 -126.44 26.2  4.9 2013.089_4.9
 2013  5 24  3 47 12  B030 pattrs030bor2007 438.96 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B030 pattrs030bor2007 339.35 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B030 pattrs030bor2007 456.48 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2013 10 11 23  5 40  B030 pattrs030bor2007 390.69 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B030 pattrs030bor2007 436.23 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B030 pattrs030bor2007 406.81 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B030 pattrs030bor2007 419.22 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B031 hergrt031bor2007 128.31 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B031 hergrt031bor2007 327.67 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B031 hergrt031bor2007 303.97 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B031 hergrt031bor2007 305.68 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B031 hergrt031bor2007 382.32 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B031 hergrt031bor2007 374.08 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2005  6 17  6 21 45  B031 hergrt031bor2007 435.74 168   29   40.64 -126.76 16.2  6.6 2005.168_6.6
 2005  6 19  9 27 21  B031 hergrt031bor2007 449.88 170   30   40.45 -126.71 15.5  4.9 2005.170_4.9
 2006  1 11 10  2 35  B031 hergrt031bor2007 326.77 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 22  5 42  2  B031 hergrt031bor2007 420.09 081   35   40.76 -126.66 12.9  5.0 2006.081_5.0
 2006  3 25 20 14  5  B031 hergrt031bor2007 320.63 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B031 hergrt031bor2007 313.89 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B031 hergrt031bor2007 401.08 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B031 hergrt031bor2007 430.42 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2006 10 17 20 53 18  B031 hergrt031bor2007 428.73 290   42   40.46 -126.29 12.0  4.9 2006.290_4.9
 2007  1 31 15 24 50  B031 hergrt031bor2007 324.82 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B031 hergrt031bor2007 307.12 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B031 hergrt031bor2007 352.48 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B031 hergrt031bor2007 343.46 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B031 hergrt031bor2007 359.19 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B031 hergrt031bor2007 313.06 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B031 hergrt031bor2007 392.63 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B031 hergrt031bor2007 312.03 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B031 hergrt031bor2007 375.22 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B031 hergrt031bor2007 352.95 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B031 hergrt031bor2007 367.33 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2007 12 11 19 17 25  B031 hergrt031bor2007 424.62 345   58   40.50 -126.28 21.5  4.9 2007.345_4.9
 2008  1 10  1 37 24  B031 hergrt031bor2007 393.74 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  1 19 23 13 10  B031 hergrt031bor2007 384.83 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B031 hergrt031bor2007 333.12 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4  2  5 55 42  B031 hergrt031bor2007 493.84 093   69   44.08 -129.52 12.0  5.2 2008.093_5.2
 2008  4 10  8  4 31  B031 hergrt031bor2007 429.64 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B031 hergrt031bor2007 366.41 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 14  5 38 34  B031 hergrt031bor2007 487.40 105   72   44.07 -129.44 12.0  5.1 2008.105_5.1
 2008  4 30  3  3  8  B031 hergrt031bor2007 316.05 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B031 hergrt031bor2007 274.35 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  5 24 23 23  8  B031 hergrt031bor2007 487.07 145   77   44.01 -129.44 12.3  5.1 2008.145_5.1
 2008  6  2 17 50 25  B031 hergrt031bor2007 484.47 154   78   43.96 -129.41 12.0  5.2 2008.154_5.2
 2008  6 14  6 47  9  B031 hergrt031bor2007 479.81 166   79   44.00 -129.35 13.6  5.2 2008.166_5.2
 2008  6 29 19 33 41  B031 hergrt031bor2007 484.77 181   80   44.03 -129.41 12.0  5.4 2008.181_5.4
 2008  7 12 15 46  2  B031 hergrt031bor2007 289.95 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008  7 17 18 21 42  B031 hergrt031bor2007 486.69 199   82   44.09 -129.43 17.1  5.0 2008.199_5.0
 2008  7 17 22 36 18  B031 hergrt031bor2007 490.13 199   83   44.12 -129.47 12.0  5.4 2008.199_5.4
 2008  7 17 22 43  2  B031 hergrt031bor2007 496.39 199   84   44.11 -129.55 19.1  5.2 2008.199_5.2
